injection_position,path,path_length,strength,start,end
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa5→SSp-tr5→SSp-tr4→SSp-ul4→SSp-ll4,11,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.005421, 0.006836, 0.006626, 0.008003, 0.0103]",ACAd2/3,SSp-ll4
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa5→VISa4,8,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.005421, 0.009794]",ACAd2/3,VISa4
ACAd2/3,ACAd2/3→ACAd5→ACAv5→ACAv6a→cing→ccg→DP→TTd→SH,8,"[0.182779, 0.128518, 0.040751, 0.02013, 0.011859, 0.009517, 0.008538, 0.008952, 0.000945]",ACAd2/3,SH
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa6b→cing→VISam6b→VISam6a→VISam5→VISam4→VISpm4→VISpm2/3,14,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.004792, 0.011859, 0.009084, 0.014469, 0.01807, 0.019975, 0.016572, 0.011385]",ACAd2/3,VISpm2/3
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→PL5→ILA5→ILA2/3→ILA1,7,"[0.182779, 0.128518, 0.042455, 0.011232, 0.016267, 0.00552, 0.004831, 0.007872]",ACAd2/3,ILA1
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAv6a→ACAv6b→cing→ccg→CP→int→nst→LHA,10,"[0.182779, 0.128518, 0.042455, 0.02013, 0.011178, 0.011859, 0.009517, 0.023498, 0.001763, 0.002689, 0.001209]",ACAd2/3,LHA
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ILA6a→ILA6b,5,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006304, 0.001286]",ACAd2/3,ILA6b
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAv6a→ACAv5→PL5→ILA5→ILA6a→DP→TTd→LSr→MS,11,"[0.182779, 0.128518, 0.042455, 0.02013, 0.040751, 0.016267, 0.00552, 0.006304, 0.008538, 0.008952, 0.004366, 0.004485]",ACAd2/3,MS
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAd6b→cing→ccb→SSs6b→VISC6b→GU6b→GU6a→CLA→AIp6a→EPd→ENTl6a→ENTl5→ENTl3→ENTl2→ENTm2,17,"[0.182779, 0.128518, 0.042455, 0.027825, 0.011859, 0.025066, 0.010716, 0.002215, 0.007981, 0.009733, 0.007236, 0.00568, 0.002136, 0.004007, 0.005431, 0.011984, 0.010873, 0.00702]",ACAd2/3,ENTm2
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAd6b→cing→ccb→SSs6b→VISC6b→GU6b→GU6a→CLA→AIp6a→EPd→ENTl6a→ENTl5→ENTl3→ENTl2→ENTm2→ENTm1,18,"[0.182779, 0.128518, 0.042455, 0.027825, 0.011859, 0.025066, 0.010716, 0.002215, 0.007981, 0.009733, 0.007236, 0.00568, 0.002136, 0.004007, 0.005431, 0.011984, 0.010873, 0.00702, 0.001005]",ACAd2/3,ENTm1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→ACAd6a→ACAd6b→cing→RSPv6a→RSPv5→RSPv2/3→POST,10,"[0.182779, 0.128518, 0.04085, 0.02001, 0.042455, 0.027825, 0.011859, 0.010097, 0.014789, 0.009672, 0.004344]",ACAd2/3,POST
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→ACAd6a→ACAd6b→cing→RSPv6a→RSPv5→RSPv2/3→POST→PRE,11,"[0.182779, 0.128518, 0.04085, 0.02001, 0.042455, 0.027825, 0.011859, 0.010097, 0.014789, 0.009672, 0.004344, 0.002852]",ACAd2/3,PRE
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→ccg→CP,6,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.028152, 0.061962]",ACAd5,CP
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→ccg→CP→int,7,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.028152, 0.061962, 0.044774]",ACAd5,int
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→ccg→CP→int→RT,8,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.028152, 0.061962, 0.044774, 0.045922]",ACAd5,RT
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→RT→AV→IAD→MD,10,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.045922, 0.043335, 0.061194, 0.057572]",ACAd5,MD
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→GPe,6,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.00718]",ACAd5,GPe
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→AV→AD→sm,9,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.043335, 0.021096, 0.001392]",ACAd5,sm
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→AV→CL→Eth,9,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.043335, 0.078566, 0.035077]",ACAd5,Eth
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→ccg→CP→ACB,7,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.028152, 0.061962, 0.006513]",ACAd5,ACB
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→RT→AMv,8,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.045922, 0.077404]",ACAd5,AMv
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→AMv→RE,8,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.077404, 0.024691]",ACAd5,RE
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→VAL→AMv→AMd→IAD→MD→PF,12,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.052839, 0.077404, 0.085689, 0.061194, 0.057572, 0.043298]",ACAd5,PF
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→nst,7,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.04163]",ACAd5,nst
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→cpd→SNr,8,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.041212, 0.00836]",ACAd5,SNr
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→ccg→CP→int→STN,7,"[0.237125, 0.146949, 0.087078, 0.034561, 0.028152, 0.061962, 0.044774, 0.033024]",ACAd5,STN
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→cpd→SNr→SNc,9,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.041212, 0.00836, 0.003398]",ACAd5,SNc
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→cpd→SNr→SNc→VTA,9,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.041212, 0.00836, 0.003398, 0.006918]",ACAd5,VTA
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→ccg→CP→EPd,7,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.028152, 0.061962, 0.000804]",ACAd5,EPd
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→RT→PVHd,8,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.045922, 0.005993]",ACAd5,PVHd
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→GPi→STN→FF→ml→SPFp→MRN→APN,12,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.026827, 0.033024, 0.042609, 0.028225, 0.038523, 0.017291, 0.028655]",ACAd5,APN
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→nst→LHA,8,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.04163, 0.003315]",ACAd5,LHA
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→RT→VM,8,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.045922, 0.052806]",ACAd5,VM
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→cpd→ml,7,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.041212, 0.028225]",ACAd5,ml
