start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
312782648,312782598,312782648→312782652→312782598,2,5,VISpor6a→VISpor6b→VISli6b,VISpor6a
312782648,971,312782648→312782652→484682520→971,3,6,VISpor6a→VISpor6b→or→fp,VISpor6a
312782648,579,312782648→312782652→484682520→579,3,4,VISpor6a→VISpor6b→or→ec,VISpor6a
312782648,382,312782648→312782652→484682520→971→466→382,5,8,VISpor6a→VISpor6b→or→fp→alv→CA1,VISpor6a
312782648,466,312782648→312782652→484682520→971→466,4,5,VISpor6a→VISpor6b→or→fp→alv,VISpor6a
312782648,443,312782648→312782652→484682520→579→443,4,6,VISpor6a→VISpor6b→or→ec→dhc,VISpor6a
312782648,463,312782648→312782652→484682520→971→382→423→463,6,11,VISpor6a→VISpor6b→or→fp→CA1→CA2→CA3,VISpor6a
312782648,74,312782648→312782652→74,2,9,VISpor6a→VISpor6b→VISl6a,VISpor6a
312782648,581,312782648→312782652→484682520→971→466→603→310→581,7,15,VISpor6a→VISpor6b→or→fp→alv→fi→SF→TRS,VISpor6a
312782648,502,312782648→312782652→484682520→971→466→484682470→502,6,12,VISpor6a→VISpor6b→or→fp→alv→ProS→SUB,VISpor6a
312782648,743,312782648→312782652→484682520→579→743,4,7,VISpor6a→VISpor6b→or→ec→ENTm6,VISpor6a
312782648,484682470,312782648→312782652→484682520→579→466→502→484682470,6,7,VISpor6a→VISpor6b→or→ec→alv→SUB→ProS,VISpor6a
312782648,436,312782648→312782652→484682520→971→466→603→310→436,7,21,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx,VISpor6a
312782648,28,312782648→312782652→28,2,8,VISpor6a→VISpor6b→ENTl6a,VISpor6a
312782648,181,312782648→312782652→484682520→971→466→603→310→436→802→262→15→181,11,28,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→sm→RT→PT→RE,VISpor6a
312782648,1077,312782648→312782652→484682520→971→466→603→310→436→181→1077,9,24,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→RE→PR,VISpor6a
312782648,560581559,312782648→312782652→484682520→971→466→603→310→436→802→181→560581559,10,26,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→sm→RE→Xi,VISpor6a
312782648,1096,312782648→312782652→484682520→971→466→603→310→436→802→262→15→181→1096,12,27,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→sm→RT→PT→RE→AMd,VISpor6a
312782648,366,312782648→312782652→484682520→971→466→603→310→436→802→262→15→181→1077→366,13,33,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→sm→RT→PT→RE→PR→SMT,VISpor6a
312782648,599,312782648→312782652→484682520→971→466→603→310→436→802→262→15→181→599,12,27,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→sm→RT→PT→RE→CM,VISpor6a
312782648,690,312782648→312782652→484682520→971→466→603→310→436→802→262→15→181→1077→366→690,14,32,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→sm→RT→PT→RE→PR→SMT→mtt,VISpor6a
312782648,685,312782648→312782652→484682520→971→466→603→310→436→802→262→15→181→366→685,13,30,VISpor6a→VISpor6b→or→fp→alv→fi→SF→fx→sm→RT→PT→RE→SMT→VM,VISpor6a
28,312782644,28→312782652→312782648→312782644,3,5,ENTl6a→VISpor6b→VISpor6a→VISpor5,ENTl6a
28,335,28→368→335,2,5,ENTl6a→PERI6b→PERI6a,ENTl6a
28,977,28→312782652→312782648→977,3,4,ENTl6a→VISpor6b→VISpor6a→ECT6a,ENTl6a
28,729,28→312782652→312782648→977→729,4,4,ENTl6a→VISpor6b→VISpor6a→ECT6a→TEa6a,ENTl6a
28,289,28→312782652→312782648→977→988→289,5,8,ENTl6a→VISpor6b→VISpor6a→ECT6a→ECT5→TEa5,ENTl6a
28,988,28→312782652→312782648→977→988,4,4,ENTl6a→VISpor6b→VISpor6a→ECT6a→ECT5,ENTl6a
28,427,28→312782652→312782648→977→988→312782644→312782636→312782640→427,8,11,ENTl6a→VISpor6b→VISpor6a→ECT6a→ECT5→VISpor5→VISpor2/3→VISpor4→ECT2/3,ENTl6a
28,692,28→312782652→312782648→977→335→692,5,8,ENTl6a→VISpor6b→VISpor6a→ECT6a→PERI6a→PERI5,ENTl6a
28,520,28→312782652→312782648→977→988→289→729→520,7,10,ENTl6a→VISpor6b→VISpor6a→ECT6a→ECT5→TEa5→TEa6a→AUDv6a,ENTl6a
28,1023,28→312782652→312782648→977→988→289→729→520→1023,8,9,ENTl6a→VISpor6b→VISpor6a→ECT6a→ECT5→TEa5→TEa6a→AUDv6a→AUDv5,ENTl6a
28,312782594,28→312782652→312782648→977→988→289→729→312782594,7,7,ENTl6a→VISpor6b→VISpor6a→ECT6a→ECT5→TEa5→TEa6a→VISli6a,ENTl6a
312782652,310,312782652→484682520→971→466→603→310,5,19,VISpor6b→or→fp→alv→fi→SF,VISpor6b
312782652,436,312782652→484682520→971→466→603→310→436,6,20,VISpor6b→or→fp→alv→fi→SF→fx,VISpor6b
312782652,181,312782652→579→484682520→971→466→603→310→436→181,8,31,VISpor6b→ec→or→fp→alv→fi→SF→fx→RE,VISpor6b
312782652,15,312782652→484682524→484682520→971→466→603→310→436→181→15,9,32,VISpor6b→ar→or→fp→alv→fi→SF→fx→RE→PT,VISpor6b
