start_node,end_node,path,path_length,edges_used
1084,579,1084→502→484682470→466→579,4,22
1084,1045,1084→502→484682470→466→579→1045,5,5
1084,988,1084→502→484682470→466→579→1045→977→988,7,7
502,312782652,502→466→579→484682520→312782652,4,4
502,971,502→466→971,2,2
502,484682520,502→466→579→484682520,3,3
502,977,502→466→579→484682520→786→729→977,6,27
502,599,502→466→603→310→436→181→599,6,44
502,181,502→466→603→310→436→181,5,54
502,189,502→466→603→310→436→181→189,6,62
502,614,502→466→603→310→436→576073704→614,6,50
502,1077,502→466→603→310→436→1077,5,56
502,597,502→466→603→310→258→597,5,22
502,576073704,502→466→603→310→436→576073704,5,19
502,38,502→466→603→310→436→38,5,54
502,149,502→466→603→310→436→802→15→149,7,51
502,749,502→466→603→310→436→194→210→525→749,8,46
502,1,502→466→603→310→436→576073704→614→1,7,57
502,606826659,502→466→603→310→436→194→210→606826647→606826659,8,51
502,63,502→466→603→310→436→576073704→88→63,7,36
502,830,502→466→603→310→436→576073704→88→830,7,45
502,693,502→466→603→310→436→576073704→88→693,7,36
484682470,1108,484682470→466→603→310→258→1108,5,26
484682470,692,484682470→466→579→28→139→692,5,15
484682470,484682520,484682470→466→579→484682520,3,3
484682470,298,484682470→466→603→258→56→342→298,6,52
484682470,961,484682470→466→579→28→139→961,5,26
484682470,1105,484682470→466→579→966→311→334→1105,6,34
484682470,966,484682470→466→579→28→966,4,17
484682470,484682528,484682470→466→603→310→436→194→342→559→403→484682528,9,48
484682470,327,484682470→466→579→28→966→311→334→327,7,49
484682470,998,484682470→466→603→258→56→998,5,28
484682470,639,484682470→466→28→966→311→334→780→451→327→639,9,74
484682470,788,484682470→466→579→966→451→788,5,38
579,579,579,0,1
579,502,579→466→502,2,2
579,466,579→466,1,1
579,484682470,579→466→502→484682470,3,4
579,484682520,579→484682520,1,1
579,743,579→28→743,2,4
579,382,579→466→382,2,2
579,971,579→466→971,2,5
579,28,579→28,1,1
579,139,579→28→139,2,4
579,258,579→466→603→310→258,4,15
579,436,579→466→603→310→436,4,15
579,576073704,579→466→603→310→436→576073704,5,16
579,262,579→466→603→310→436→262,5,31
579,56,579→466→603→258→56,4,23
579,194,579→466→603→310→436→576073704→194,6,33
579,523,579→466→603→258→523,4,36
579,159,579→466→603→258→56→159,5,26
579,946,579→466→603→310→436→194→606826647→525→946,8,65
579,88,579→466→603→310→436→576073704→88,6,26
579,614,579→466→603→310→436→576073704→88→173→614,8,49
579,1004,579→466→603→310→436→576073704→614→1004,7,46
